iter	Logloss
0	0.6804779521
1	0.6695684097
2	0.6579308424
3	0.6446974887
4	0.6326225408
5	0.6217874073
6	0.6118110946
7	0.6018103031
8	0.5928784252
9	0.5843700156
10	0.5762655672
11	0.5690260531
12	0.5620759873
13	0.5571001567
14	0.5497310554
15	0.5436358051
16	0.5369760729
17	0.5300855503
18	0.5234620498
19	0.5179644328
20	0.5129710113
21	0.5084610315
22	0.5038254591
23	0.4991652463
24	0.4951930525
25	0.4902629527
26	0.4855454297
27	0.4814194686
28	0.4787801672
29	0.4739774999
30	0.4700267018
31	0.4665617816
32	0.4637925344
33	0.4600849149
34	0.4564167697
35	0.4525970482
36	0.4495745167
37	0.4471093032
38	0.443807284
39	0.4409157195
40	0.4386334324
41	0.4363702597
42	0.4337123389
43	0.4315939016
44	0.4291110278
45	0.4267453923
46	0.4238355668
47	0.4223404652
48	0.4205007397
49	0.4189289831
50	0.4175791255
51	0.415604058
52	0.4136390847
53	0.4124005574
54	0.4109716977
55	0.409277912
56	0.4081241507
57	0.4061237415
58	0.4047504236
59	0.4031137519
60	0.4015653826
61	0.4003811492
62	0.3994808957
63	0.398154033
64	0.3971407465
65	0.3962759219
66	0.3951556307
67	0.3942797547
68	0.3928694131
69	0.3918434534
70	0.3906496992
71	0.3892408323
72	0.3881989688
73	0.3868725626
74	0.3856921578
75	0.3846813365
76	0.3840358512
77	0.3832299273
78	0.3823977693
79	0.3814900321
80	0.3806981104
81	0.3800318442
82	0.3793302297
83	0.378758471
84	0.3781703696
85	0.3773019992
86	0.376660396
87	0.3760117699
88	0.3753165569
89	0.374774755
90	0.3741271317
91	0.3730225133
92	0.3724632047
93	0.371792191
94	0.3710729617
95	0.3704206209
96	0.3697341169
97	0.3688687259
98	0.3682492288
99	0.3676900976
100	0.3664109635
101	0.3659229431
102	0.3653120877
103	0.3644852036
104	0.3638462082
105	0.3633409771
106	0.3628177689
107	0.3622150368
108	0.3619547126
109	0.3613135708
110	0.3608790862
111	0.360250859
112	0.3595475246
113	0.3589745381
114	0.3585483568
115	0.3580431993
116	0.3575840883
117	0.3570946762
118	0.356746297
119	0.3564746621
120	0.3560871598
121	0.3557341045
122	0.355286643
123	0.3550248446
124	0.3547090751
125	0.3543237175
126	0.3539774846
127	0.3535582598
128	0.3527465637
129	0.3525982729
130	0.3524250389
131	0.351902779
132	0.3516126466
133	0.351288671
134	0.3509798856
135	0.3506311476
136	0.3503067066
137	0.3498231974
138	0.3494713551
139	0.3490540252
140	0.3488022595
141	0.3483326925
142	0.3480513039
143	0.3475173338
144	0.3472165971
145	0.3470201375
146	0.3467340195
147	0.346356782
148	0.3458759433
149	0.3456241295
150	0.3453966661
151	0.3451681081
